Name,Founding,Description,Website URL,Location,Industry,Twitter,Facebook,Linkedin,Logo-URL,Investors,Funding Amount,Funding Date,Funding Round
AIRPORTELs,Jul-15,"
												AIRPORTELs is named from combination between ""Airport"" and ""Hotel"" which are the essential places from all traveler.",http://www.airportels.asia,Thailand,"Logistics/Supply Chain,Transportation,Travel",https://www.facebook.com/airportels/?fref=ts,https://www.linkedin.com/company/7601026?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A7601026%2Cidx%3A1-1-1%2CtarId%3A1462977440547%2Ctas%3Aairportels,,https://d388w23p6r1vqc.cloudfront.net/img/startups/13718/logo-1462977521.png,,,,
"Hellowings 
											",,"
												The birth of HelloWings Budget came from a college graduation trip to Australia, the cofounders found themselves in the never ending inightmare of comparing prices on each individual website. The inconsistency of pricing and date plus the unique operating interface of each tab makes searching for low fare air travel an impossible mission. And this experience triggered the thought of utilizing their computer science speciality to set up a business for all travelers after them to enjoy a smooth and easy air ticket booking experience.",https://en.hellowings.com/,Taiwan,"Productivity & CRM,Software",,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/14222/logo-1464329003.png,,,,
Sentbe Inc.,,,http://www.sentbe.com,South Korea,,,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/25057/logo.png,,,,
Travelease Pte. Ltd. ,Apr-16,"
												Travelease is an app in the travel industry. We are currently working with many merchants in different cities providing research and deals to travelers. Our main focus is in the things to do category. We have listed deals from attractions and leisure activities to dining and nightlife allowing travelers to view all the great available things to do in the city of their choice within one app. After a decision is made by the travelers, they can proceed to book the deals of their choice and e-tickets / QR Codes are delivered with instant confirmation to their itineraries and email. Travelers would just need to scan these codes and tickets at the entrance of each merchant to redeem and enjoy their activity. They would not have to queue in line or print the ticket to enjoy the activity. Reminders and directions to their booked events are sent automatically by the app to their devices. These travelers can further add in their flight & hotel confirmations along with any other planned events including syncing their google calendars to their itineraries. Visa / passports documents / driving licenses can be snapped and stored in the app for the travelers to have easy access at any point during their trip. Users are free to use the app without having to purchase any deals. Moving into the future, travelease looks to be the #1 go to app for travelers who are looking to build their customized itineraries and store / refer to them even after the trip easily. 											",http://www.traveleaseapp.com,Singapore,Travel,http://www.twitter.com/sgtravelease,http://www.facebook.com/traveleasesg,,https://d388w23p6r1vqc.cloudfront.net/img/startups/23436/logo.png,,,,
500TRENDS,May-13,"
												Just as in Tinder, swipe right to like an item or left to dismiss it. They make it extremely easy and fun to shop the best products at unbeatable prices.",http://www.500trends.com,Thailand,"Design ,Education,Media,Web",http://www.twitter.com/500trends,https://www.facebook.com/marcosperfer,http://linkedin.com/in/marcosucla,https://d388w23p6r1vqc.cloudfront.net/img/startups/7446/logo.png,,,,
TAG TEAM INC. Pte Ltd,May-11,"
												TAG TEAM is a mixed reality technologies company in the space of IoT, gaming software & hardware. We launched Reza Sword, the world’s first sword gaming gadget, followed by Laser Glove, Laser Bow and mixed reality gameplay at our two laser tag centres. ",http://www.tagteaminc.sg,Singapore,"B2B/Enterprise,Gaming,Hardware,Internet of Things,Software,Training & Coaching",http://www.facebook.com/tagteaminc,https://www.linkedin.com/company-beta/13301113/,,https://d388w23p6r1vqc.cloudfront.net/img/startups/24159/logo.png,,,,
6Connect,Apr-16,,https://www.6connect.biz,Singapore,"B2B/Enterprise,Logistics/Supply Chain",http://www.facebook.com/6connect.biz,https://www.linkedin.com/organization/13328982,,https://d388w23p6r1vqc.cloudfront.net/img/startups/24174/logo.png,,,,
Tralulu,Jan-16,,https://www.tralulu.com,Philippines,Travel,https://www.facebook.com/tralulutravels,https://www.linkedin.com/company-beta/10516336/,,https://d388w23p6r1vqc.cloudfront.net/img/startups/25088/logo.png,,US$50K,May-16,Angel
Garuda Technologies,Nov-16,"
												Garuda is a platform for investors in Asia to allocate resources, monitor their portfolio, evaluate their performance and check for compliance/due diligence. It is integrated with a layer of Artificial Intelligence with a dynamic algorithm as the SME's enter different stages. It is in the process of creating an algorithm for compliance and preference using machine learning. 											",https://e27.co/startups?loc[]=Philippines,,"B2B/Enterprise,Data & Analytics,Market Research,Productivity & CRM,Startups,Web",,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/24570/logo.png,,,,
SKYBIT,Jun-15,,https://SKYBIT.ASIA,Burma,"Bitcoin,E-commerce,Social Enterprise",http://www.twitter.com/SKYBITASIA,https://www.facebook.com/SKYBIT.ASIA,,https://d388w23p6r1vqc.cloudfront.net/img/startups/18046/logo.png,,,,
Tourders,Dec-15,"
												Founded in December 2015 by Joseph Toh, Tourder's is an online marketplace for travellers to plan and book travel experience with ease. With the aim of fostering customers-partners ties and revolutionizing how people travel.",http://www.tourders.com,Malaysia,"E-commerce,Startups,Travel",http://www.twitter.com/tourders,http://www.facebook.com/tourders,https://www.linkedin.com/company/tourdes-sdn-bhd,https://d388w23p6r1vqc.cloudfront.net/img/startups/16480/logo-1497934395.png,,,,
ZeptoExpress ,Feb-16,,https://www.zeptoexpress.com,Malaysia,"E-commerce,Logistics/Supply Chain",http://www.twitter.com/zeptoexpress,https://www.facebook.com/zeptoexpress,https://www.linkedin.com/company-beta/13261938/,https://d388w23p6r1vqc.cloudfront.net/img/startups/21263/logo-1487728087.png,,US$120K,Feb-16,Seed
CheQQme,Apr-16,,http://www.cheqqme.com,Malaysia,"Consumer,Marketing,Retail,Startups",http://fb.com/CheQQme,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/11256/logo-1491465762.png,,,,
Anterin,,"
												Anterin, under PT Anterin Digital Nusantara registered with their partners throughout Indonesia, providing city courier services, trucking, transportation and warehousing. Anterin a city courier service provider marketplace, trucking, transportation and warehousing, from companies and private. ",http://anterin.id/,Indonesia,"Logistics/Supply Chain,Transportation",http://www.twitter.com/anterin_id,https://www.facebook.com/anterin.id,,https://d388w23p6r1vqc.cloudfront.net/img/startups/15643/logo-1468391406.png,,,,
Wedidit Solutions,Aug-15,"
												Komorebi is a phygital branding solution that helps brands talk, listen, understand and care for their retail consumers., eventually increasing sales with better branding and service. ",https://komorebi-insight.com,Vietnam,"B2B/Enterprise,Marketing,Software Development,Startups",https://www.facebook.com/wediditsolutions/,https://www.linkedin.com/company/3576309?,,https://d388w23p6r1vqc.cloudfront.net/img/startups/14706/logo.png,,US$125K,Jun-16,Seed
Transporters.io,Jan-16,"
												Launched in 2016, Transporters.io is working to solve the everyday troubles that transport providers have to deal with and help their businesses run more efficiently and profitably.",https://transporters.io/,Thailand,"B2B/Enterprise,Transportation,Travel",http://www.twitter.com/transporters_io,https://www.facebook.com/transporters.io/,https://www.linkedin.com/company/7788756,https://d388w23p6r1vqc.cloudfront.net/img/startups/20102/logo-1481003315.png,,US$40K,Jun-16,Pre-Seed
FindYourSpace,Sep-14,"
												FindYourSpace is an enterprise cloud platform for focusing on the real-estate industry in South East Asia.",http://pro.findyourspace.co,Thailand,"B2B/Enterprise,Consumer,Marketing,Productivity & CRM,Real Estate,Web",http://www.twitter.com/findyourspaceth,https://www.facebook.com/findyourspace.pro/,https://www.linkedin.com/company/findyourspace,https://d388w23p6r1vqc.cloudfront.net/img/startups/738/logo.png,"REAPRA Group,Simon Osborne,Jostein Aksnes,7 Peaks Software","US$300K,US$50K,US$40K,US$30K","Mar 2017,Aug 2016,Jan 2016,Sep 2014","Seed,Angel,Angel,Angel"
YogaTrail,Dec-12,"
												YogaTrail connects yogis with their personal yoga world. For yoga professionals, it's a platform the helps them to manage classes, engage students, accept bookings and payments, and grow their business.",https://yogatrail.com,Thailand,"Education,Health/Medical,Social Networking,Web",http://www.twitter.com/YogaTrail,https://www.facebook.com/yogatrail,https://www.linkedin.com/company/2466319,https://d388w23p6r1vqc.cloudfront.net/img/startups/1964/logo.png,,"US$320K,US$320K","Nov 2014,Aug 2014","Seed,Seed"
IndieDish,,"
												Indie Dish lets you discover and order healthy meals freshly prepared from top independent vendors across Bangkok.",http://indiedish.co/,Thailand,"Food & Beverages,Mobile,Web",https://www.facebook.com/indiedishapp,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/24524/logo-1494982804.png,,,,
Moving Walls,,"
												Moving Walls was formed with a vision to enable future “Smart Cities”. ",http://www.movingwalls.com,Singapore,,http://www.twitter.com/movingwalls,https://www.facebook.com/movingwalls,http://www.linkedin.com/company/moving-walls,https://d388w23p6r1vqc.cloudfront.net/img/startups/25105/logo.png,,,,
cutQ,May-13,,http://www.cutQ.sg,Singapore,"B2B/Enterprise,Consumer,Data & Analytics,Food & Beverages,Mobile,Productivity & CRM,Software,Software Development,Startups",http://www.facebook.com/sgcutQ,https://www.linkedin.com/company/epicenterprisescutq,,https://d388w23p6r1vqc.cloudfront.net/img/startups/17983/logo.png,,,,
PT Galactic Multimedia,,,http://www.oomph.co.id,Indonesia,,,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/25095/logo.png,,,,
MOBIPROMO ,Jul-13,"
												MobiPromo® is a proprietary, WiFi Marketing & Monetization system. ","http://www,mobipromosystem.com",Hong Kong,"Advertising,B2B/Enterprise,Consumer,Data & Analytics,E-commerce,Government,Hardware,Internet of Things,Media,Mobile,Retail,Software,Telecommunications,Travel",,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/25158/logo.png,,,,
funday365,Oct-15,"
												One of the big problems in the society is that people are not able to pursue hobbies/interest/passion due to lack of time, non-availability of partners, inconvenience, the hassle of arranging activities. They are not able to unlock the potential of their personal time due to non-availability of required activities in their own neighborhood. ",http://www.funday365.com,Singapore,"Consumer,Entertainment,Sharing Economy,Social Enterprise,Startups",http://www.twitter.com/funday365,https://www.facebook.com/funday365/,,https://d388w23p6r1vqc.cloudfront.net/img/startups/24646/logo.png,,,,
Master Solusi Indonesia,Feb-17,"
												Most of us are usually need to send our any precious goods but we are afraid of the online delivery service is on the go also a lot of people from the older generation are not wellknown about the up to date technology but they intend to use the delivery. So here is, Master, we provide you with on demand services application to deliver your any precious goods with standardized and high quality services and it can be accessed through omni channel											",http://www.m-jek.com,Indonesia,Logistics/Supply Chain,http://www.facebook.com/MjekMjek,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/25145/logo.png,,,,
ButlerinSuits,Sep-16,"
												Butler In Suits is a subscription-based smart home management service, that automates your apartment cleaning, laundry, and groceries every week. ",http://www.ButlerinSuits.com,Singapore,"Consumer,E-commerce,Startups",http://www.twitter.com/butlerinsuits,http://www.facebook.com/butlerinsuits,https://www.linkedin.com/company/butlerinsuits,https://d388w23p6r1vqc.cloudfront.net/img/startups/16806/logo-1488524490.png,,,,
Save Yourselves,Nov-16,,http://Saveyourselves.org,Indonesia,"Education,Health/Medical",http://www.facebook.com/saveyourselvesid,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/25089/logo.png,,,,
CYGEN GROUP,Apr-16,"
												Some say technology will replace 80% of doctors in the future. I disagree. Instead, technology will finally allow doctors to focus on what makes them good physicians: treating patients and innovating, while automation does the repetitive part of the work. We Collect Demographic, Lifestyle and Clinical Data through devices. CYGEN System analyzes and determines risks and develops a holistic score. Analytics engine generates health reports with actionable insights. ",http://cygen,Malaysia,"B2B/Enterprise,Health/Medical,Insurance,Internet of Things,Medical Devices,Startups",,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/23401/logo.png,,,,
Tribewizard,Nov-15,,http://www.tribewizard.com,Malaysia,"B2B/Enterprise,Education,Software,Training & Coaching",http://www.twitter.com/tribewizardnow,https://www.facebook.com/teamtribewizard/,https://www.linkedin.com/company/tribewizard,https://d388w23p6r1vqc.cloudfront.net/img/startups/23091/logo-1493332913.png,,US$15K,Mar-16,Pre-Seed
Zarrel Sdn Bhd,Jun-16,"
												Have you ever opened your closet and said to say to yourself, “I have nothing to wear.”?",https://zarrel.com.my/,Malaysia,"E-commerce,Fashion",http://www.facebook.com/zarrel,https://www.linkedin.com/company-beta/13244122/,,https://d388w23p6r1vqc.cloudfront.net/img/startups/23274/logo.png,,US$67K,Apr-16,Pre-Seed
APPPAY,Jan-17,"
												AppPay is a comprehensive mobile commerce enabler company with merchant-end wallet app system, loyalty rewards system & full blown of app-based O2O commerce facilities for Brick-and-Mortar businesses. ",http://apppay.my,Malaysia,"B2B/Enterprise,E-commerce,Marketing,Mobile,Startups",https://www.linkedin.com/in/desmond-tay-4b063478/,,,https://d388w23p6r1vqc.cloudfront.net/img/startups/22045/logo.png,,,,
PrivyID,,"
												A Universal Identity Enabler and Digital Signature Provider founded in 2016. In less than a year, they quickly turned into a major player in this industry by having the biggest companies in telco, multifinance, and retail industries onboard as our users.",http://www.privy.id/,Indonesia,Internet of Things,http://www.twitter.com/PrivyID,https://www.facebook.com/privyid,https://www.linkedin.com/company/4840243,https://d388w23p6r1vqc.cloudfront.net/img/startups/19671/logo-1479779374.png,Mandiri Capital,US$15.1K,Nov-16,Grant
SocioRAC,,"
												1-click solution, that works on any app any screen, makes content Smart, helps you Save, Manage, Print, Share content & work On-The-Go with cloud backup & remove need of screen shots and copy paste",http://sociorac.com/,India,"B2B/Enterprise,Data & Analytics,Internet of Things,Productivity & CRM",http://www.twitter.com/SocioRAC,https://www.facebook.com/SocioRAC/,http://SocioRAC,https://d388w23p6r1vqc.cloudfront.net/img/startups/22994/logo-1490100602.png,,,,
